text,intent,capability
"Can I open a checking account online?",open_checking_account,Account Opening
"Please guide me on how to open a checking account.",open_checking_account,Account Opening
"I’m interested in opening a checking account.",open_checking_account,Account Opening
"What do I need to open a checking account?",open_checking_account,Account Opening
"I want to start a checking account with your bank.",open_checking_account,Account Opening
"Could you assist me with opening a checking account?",open_checking_account,Account Opening
"How can I open a checking account with you?",open_checking_account,Account Opening
"I need assistance in opening a checking account.",open_checking_account,Account Opening
"Is it possible to open a checking account today?",open_checking_account,Account Opening
"Can you tell me how to open a checking account?",open_checking_account,Account Opening
"What are the steps to open a checking account?",open_checking_account,Account Opening
"I want to create a new checking account.",open_checking_account,Account Opening
"Please help me set up a checking account.",open_checking_account,Account Opening
"I’m ready to open a checking account.",open_checking_account,Account Opening
"What documents do I need to open a checking account?",open_checking_account,Account Opening
"Can I open a checking account over the phone?",open_checking_account,Account Opening
"I’d like to start banking with your checking account.",open_checking_account,Account Opening
"How long does it take to open a checking account?",open_checking_account,Account Opening
"Can you walk me through opening a checking account?",open_checking_account,Account Opening
"Is there a fee for opening a checking account?",open_checking_account,Account Opening
"I’m looking to open a no-fee checking account.",open_checking_account,Account Opening
"What types of checking accounts do you offer?",open_checking_account,Account Opening
"Please provide details on opening a checking account.",open_checking_account,Account Opening
"What’s required to open a checking account?",open_checking_account,Account Opening
"I need to open a checking account for my business.",open_checking_account,Account Opening
"How do I open a joint checking account?",open_checking_account,Account Opening
"Can I open a checking account in a foreign currency?",open_checking_account,Account Opening
"What’s the minimum balance for a checking account?",open_checking_account,Account Opening
"I want to open a checking account for my family.",open_checking_account,Account Opening
"Can I open multiple checking accounts at once?",open_checking_account,Account Opening
"Please explain the checking account opening process.",open_checking_account,Account Opening
"What happens after I open a checking account?",open_checking_account,Account Opening
"Can I open a checking account without visiting a branch?",open_checking_account,Account Opening
"What are the benefits of a checking account?",open_checking_account,Account Opening
"I’d like to open a premium checking account.",open_checking_account,Account Opening
"Can I open a checking account for someone else?",open_checking_account,Account Opening
"Please let me know how to proceed with opening a checking account.",open_checking_account,Account Opening
"I want to open a checking account for everyday transactions.",open_checking_account,Account Opening
"How do I fund my new checking account?",open_checking_account,Account Opening
"Can I link my checking account to my savings account?",open_checking_account,Account Opening
"What fees are associated with a checking account?",open_checking_account,Account Opening
"I’m interested in a student checking account.",open_checking_account,Account Opening
"Can I open a checking account with a small deposit?",open_checking_account,Account Opening
"Please confirm the requirements for a checking account.",open_checking_account,Account Opening
